City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Ponta Do Sol,PT,2021-02-14 09:11:18,32.6667,-17.1,57.99,82,20,5.75
101,Qasigiannguit,GL,2021-02-14 09:11:18,68.8193,-51.1922,10.4,61,90,8.05
102,Pittsburg,US,2021-02-14 09:11:19,38.028,-121.8847,50.0,71,1,4.61
103,Noumea,NC,2021-02-14 09:11:19,-22.2763,166.4572,82.99,83,75,2.3
104,Jalu,LY,2021-02-14 09:11:19,29.0331,21.5482,68.74,24,0,6.87
105,Necochea,AR,2021-02-14 09:11:19,-38.5473,-58.7368,66.0,97,94,5.01
106,Suba,PH,2021-02-14 09:11:19,10.8438,121.0102,80.46,80,72,12.91
107,Guerrero Negro,MX,2021-02-14 09:11:20,27.9769,-114.0611,58.69,75,96,23.09
108,Ilulissat,GL,2021-02-14 09:11:20,69.2167,-51.1,10.4,61,90,8.05
109,East London,ZA,2021-02-14 09:11:20,-33.0153,27.9116,82.4,74,20,16.11
110,Verkhnevilyuysk,RU,2021-02-14 09:11:21,63.4453,120.3167,-14.62,88,100,6.96
111,San Policarpo,PH,2021-02-14 09:11:21,12.1791,125.5072,79.52,87,100,14.14
112,Bani Walid,LY,2021-02-14 09:11:21,31.7566,13.9942,58.87,58,10,15.35
113,Luderitz,NA,2021-02-14 09:11:21,-26.6481,15.1594,70.92,59,0,11.32
114,Port Lincoln,AU,2021-02-14 09:11:21,-34.7333,135.8667,64.69,71,0,13.11
115,Portland,US,2021-02-14 09:08:42,45.5234,-122.6762,28.99,69,90,9.22
116,Shahreza,IR,2021-02-14 09:11:22,32.0339,51.8794,56.86,29,0,2.35
117,Moose Factory,CA,2021-02-14 09:11:22,51.2585,-80.6094,-5.8,77,90,3.44
118,Vaini,TO,2021-02-14 09:11:22,-21.2,-175.2,78.8,94,20,4.61
119,Kakuda,JP,2021-02-14 09:11:22,37.9667,140.7833,50.0,71,75,3.44
120,Nikolskoye,RU,2021-02-14 09:11:22,59.7035,30.7861,17.6,79,90,8.95
121,Cortez,US,2021-02-14 09:11:23,37.3489,-108.5859,32.0,93,90,9.22
122,Longyearbyen,SJ,2021-02-14 09:11:23,78.2186,15.6401,10.4,61,75,17.27
123,Cape Town,ZA,2021-02-14 09:11:16,-33.9258,18.4232,73.0,83,75,14.97
124,Chegdomyn,RU,2021-02-14 09:11:23,51.1167,133.0167,3.7,90,100,5.5
125,Den Helder,NL,2021-02-14 09:11:23,52.9599,4.7593,26.6,63,90,13.8
126,Camargo,MX,2021-02-14 09:11:23,27.6667,-105.1667,51.75,46,58,7.85
127,Ostrovnoy,RU,2021-02-14 09:11:23,68.0531,39.5131,-3.78,91,48,6.87
128,Shingu,JP,2021-02-14 09:11:24,33.7333,135.9833,60.8,63,75,10.36
129,Mangrol,IN,2021-02-14 09:11:24,21.1167,70.1167,79.56,51,0,12.17
130,Antalaha,MG,2021-02-14 09:11:24,-14.9003,50.2788,82.56,80,64,8.08
131,Bluff,NZ,2021-02-14 09:11:24,-46.6,168.3333,59.02,81,91,1.14
132,Bathsheba,BB,2021-02-14 09:11:25,13.2167,-59.5167,77.0,78,40,16.11
133,Methoni,GR,2021-02-14 09:11:25,36.8197,21.7049,55.99,87,75,11.5
134,Kudahuvadhoo,MV,2021-02-14 09:11:25,2.6708,72.8944,81.34,73,100,7.23
135,Norman Wells,CA,2021-02-14 09:11:25,65.282,-126.8329,-27.4,75,1,2.3
136,Ribeira Grande,PT,2021-02-14 09:11:25,38.5167,-28.7,57.2,72,20,27.63
137,Kruisfontein,ZA,2021-02-14 09:11:25,-34.0033,24.7314,79.0,80,100,4.0
138,Saldanha,ZA,2021-02-14 09:11:25,-33.0117,17.9442,66.2,94,100,4.61
139,Borne,NL,2021-02-14 09:11:26,52.3,6.75,23.0,70,0,5.99
140,Korla,CN,2021-02-14 09:11:26,41.7597,86.1469,46.56,48,100,2.33
141,Ixtapa,MX,2021-02-14 09:11:26,20.7,-105.2,58.01,82,15,3.31
142,Sao Filipe,CV,2021-02-14 09:11:27,14.8961,-24.4956,71.01,69,0,12.59
143,Parana,AR,2021-02-14 09:11:27,-31.732,-60.5238,69.01,95,0,1.01
144,Wellington,NZ,2021-02-14 09:11:27,-41.2866,174.7756,62.6,63,12,8.05
145,Ulladulla,AU,2021-02-14 09:11:27,-35.35,150.4667,68.0,73,90,9.22
146,Saint-Augustin,CA,2021-02-14 09:11:27,51.226,-58.6502,-6.2,85,0,8.86
147,Tessalit,ML,2021-02-14 09:11:28,20.1986,1.0114,81.09,12,0,19.55
148,Lakes Entrance,AU,2021-02-14 09:11:28,-37.8811,147.981,64.99,73,0,1.99
149,Svetlogorsk,BY,2021-02-14 09:11:28,52.6333,29.7333,18.3,95,78,11.61
150,Aykino,RU,2021-02-14 09:11:28,62.2248,49.9922,-1.57,92,100,13.76
151,Altus,US,2021-02-14 09:06:29,34.6381,-99.334,14.0,79,90,16.11
152,Opuwo,NA,2021-02-14 09:11:29,-18.0607,13.84,74.8,40,99,4.54
153,Arkadelphia,US,2021-02-14 09:11:29,34.1209,-93.0538,21.2,73,1,9.22
154,Tual,ID,2021-02-14 09:11:29,-5.6667,132.75,83.01,79,100,21.7
155,Shache,CN,2021-02-14 09:11:29,38.4167,77.2406,54.14,37,74,11.39
156,Kaitangata,NZ,2021-02-14 09:11:29,-46.2817,169.8464,62.01,90,89,3.31
157,Vanimo,PG,2021-02-14 09:11:29,-2.6741,141.3028,79.59,86,99,11.88
158,Port Hardy,CA,2021-02-14 09:10:00,50.6996,-127.4199,37.4,80,90,20.71
159,Imeni Poliny Osipenko,RU,2021-02-14 09:11:30,52.4201,136.4853,8.56,94,70,2.98
160,Mizdah,LY,2021-02-14 09:11:30,31.4451,12.9801,56.14,59,22,12.91
161,Buta,CD,2021-02-14 09:11:30,2.7858,24.73,96.39,29,70,3.71
162,Houma,US,2021-02-14 09:07:33,29.5958,-90.7195,39.2,81,90,9.22
163,Ballina,AU,2021-02-14 09:11:31,-28.8667,153.5667,75.2,69,90,17.27
164,Abomsa,ET,2021-02-14 09:11:31,9.9833,39.9833,82.08,20,7,11.25
165,Gornopravdinsk,RU,2021-02-14 09:11:31,60.05,69.9,7.57,94,100,11.79
166,Yar-Sale,RU,2021-02-14 09:06:50,66.8333,70.8333,-27.04,85,7,6.24
167,Hithadhoo,MV,2021-02-14 09:11:31,-0.6,73.0833,82.96,73,77,7.4
168,Port Elizabeth,ZA,2021-02-14 09:08:58,-33.918,25.5701,80.6,78,40,10.36
169,Daru,PG,2021-02-14 09:11:32,-9.0763,143.2092,81.79,80,68,5.95
170,Kupang,ID,2021-02-14 09:11:32,-10.1667,123.5833,80.6,94,75,8.05
171,Port Hedland,AU,2021-02-14 09:11:32,-20.3167,118.5667,89.6,51,0,17.27
172,Sabla,NG,2021-02-14 09:11:32,12.7525,4.7077,84.61,13,0,13.65
173,Mwinilunga,ZM,2021-02-14 09:11:33,-11.7358,24.4293,73.18,82,90,5.75
174,Swellendam,ZA,2021-02-14 09:11:33,-34.0226,20.4417,78.8,53,24,16.11
175,Dafeng,CN,2021-02-14 09:11:33,23.4517,108.5881,76.01,46,53,2.37
176,Husavik,IS,2021-02-14 09:11:33,66.0449,-17.3389,37.4,75,90,16.11
177,Lubao,PH,2021-02-14 09:11:33,14.9167,120.55,86.0,66,75,2.3
178,Lapeer,US,2021-02-14 09:09:52,43.0514,-83.3188,10.4,85,90,3.44
179,Kajaani,FI,2021-02-14 09:11:34,64.2273,27.7285,5.0,85,90,3.44
180,Oranjestad,AW,2021-02-14 09:07:49,12.524,-70.027,78.8,83,20,18.41
181,Teya,RU,2021-02-14 09:11:34,60.3778,92.6267,-7.87,83,100,1.59
182,Kodiak,US,2021-02-14 09:11:34,57.79,-152.4072,36.34,95,100,31.05
183,Hofn,IS,2021-02-14 09:11:34,64.2539,-15.2082,44.11,88,100,24.05
184,Faanui,PF,2021-02-14 09:11:35,-16.4833,-151.75,81.84,71,2,7.47
185,Owando,CG,2021-02-14 09:11:35,-0.4819,15.8999,87.94,54,100,4.76
186,Chegutu,ZW,2021-02-14 09:11:35,-18.1302,30.1407,71.91,84,97,8.48
187,Grand Gaube,MU,2021-02-14 09:11:35,-20.0064,57.6608,84.99,63,7,10.0
188,Middelburg,ZA,2021-02-14 09:11:36,-25.7751,29.4648,73.6,69,93,9.78
189,Dunmore Town,BS,2021-02-14 09:11:36,25.5,-76.65,75.83,87,7,17.96
190,Saint-Philippe,RE,2021-02-14 09:11:36,-21.3585,55.7679,88.0,62,0,27.63
191,La Primavera,CO,2021-02-14 09:11:36,5.4906,-70.4092,80.69,62,92,7.85
192,Pijijiapan,MX,2021-02-14 09:11:36,15.7011,-93.23,69.26,73,0,4.38
193,Pochutla,MX,2021-02-14 09:11:36,15.7432,-96.4661,63.0,80,0,3.6
194,Sorland,NO,2021-02-14 09:11:37,67.667,12.6934,33.76,90,100,9.01
195,Kavieng,PG,2021-02-14 09:11:37,-2.5744,150.7967,83.55,72,60,7.58
196,Eydhafushi,MV,2021-02-14 09:11:37,5.1033,73.0708,81.37,65,8,8.46
197,Narsaq,GL,2021-02-14 09:11:37,60.9167,-46.05,33.8,55,40,1.14
198,Concepcion Del Uruguay,AR,2021-02-14 09:11:38,-32.4825,-58.2372,69.01,92,0,6.33
199,Ayan,RU,2021-02-14 09:11:38,56.45,138.1667,15.93,96,100,12.66
200,Palmer,US,2021-02-14 09:11:38,42.1584,-72.3287,26.6,63,90,4.61
201,Aleksandrov Gay,RU,2021-02-14 09:11:38,50.147,48.5704,20.98,87,100,26.28
202,Mayo,US,2021-02-14 09:11:38,38.8876,-76.5119,28.99,100,90,8.05
203,Tammisaari,FI,2021-02-14 09:11:39,59.9736,23.4339,24.01,83,38,9.82
204,Whitehaven,GB,2021-02-14 09:11:39,54.549,-3.5841,37.99,84,100,17.0
205,Lishui,CN,2021-02-14 09:11:39,28.4604,119.9103,66.13,68,22,2.17
206,Nanortalik,GL,2021-02-14 09:11:39,60.1432,-45.2371,29.17,95,65,5.99
207,Busing,PH,2021-02-14 09:11:39,13.1514,122.9714,80.24,78,12,16.46
208,Okhotsk,RU,2021-02-14 09:11:40,59.3833,143.3,11.41,95,100,1.34
