City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
121,Tutoia,BR,80.46,overcast clouds,-2.7619,-42.2744,Pousada Guará's
123,Bandarbeyla,SO,72.79,clear sky,9.4942,50.8122,JABIR HOTEL
125,Naze,JP,68.0,scattered clouds,28.3667,129.4833,奄美ポートタワーホテル
129,Cayenne,GF,80.6,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
138,Vila Velha,BR,78.8,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
142,Danshui,CN,75.0,clear sky,22.7984,114.4672,Grand Skylight International Hotel Huizhou
145,Pitimbu,BR,78.8,few clouds,-7.4706,-34.8086,Reserva do Abiaí
149,Ondjiva,AO,65.25,overcast clouds,-17.0667,15.7333,SOS Motel
152,Saint-Philippe,RE,77.0,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
153,Pasni,PK,68.77,clear sky,25.2631,63.471,Kashmiri Hotal
155,Nicoya,CR,82.4,clear sky,10.1483,-85.452,Guayacan Real
157,Champasak,LA,75.2,broken clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
158,Diu,IN,67.68,clear sky,20.7141,70.9822,Hotel Relax Inn
159,Airai,TL,72.32,overcast clouds,-8.9266,125.4092,Juvinal Martin
163,Mahebourg,MU,73.4,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
165,Mount Gambier,AU,75.2,overcast clouds,-37.8333,140.7667,Commodore on the Park
167,Lakes Entrance,AU,72.0,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
168,General Pico,AR,70.65,clear sky,-35.6566,-63.7568,Hotel Malargue
169,Avarua,CK,86.0,light rain,-21.2078,-159.775,Paradise Inn
171,Kalemie,CD,70.09,overcast clouds,-5.9475,29.1947,Mahobilali
172,Souillac,MU,73.4,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
175,Bengkulu,ID,86.67,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
180,Tiarei,PF,84.2,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
181,Nichinan,JP,66.2,scattered clouds,31.6,131.3667,Guest House Aki
188,Acari,PE,71.98,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
191,Cap Malheureux,MU,77.0,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
192,Canutama,BR,74.34,moderate rain,-6.5339,-64.3831,Hotel Jhennifer
193,Xai-Xai,MZ,76.19,light rain,-25.0519,33.6442,Complexo da Familia
197,Mattru,SL,74.86,clear sky,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
199,Pakxan,LA,82.99,broken clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
201,Marawi,PH,82.0,broken clouds,7.9986,124.2928,Derogongan Residence
202,Piracanjuba,BR,69.46,light rain,-17.3028,-49.0167,Casas Luci
204,Carutapera,BR,76.62,light rain,-1.195,-46.02,Lidera
207,Chimbote,PE,71.85,broken clouds,-9.0853,-78.5783,Hotel Briliá
208,Alibag,IN,75.2,haze,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
212,Itupiranga,BR,74.43,overcast clouds,-5.1347,-49.3267,Hotel Panorama
213,Saint-Joseph,RE,77.0,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
214,Port Lincoln,AU,70.77,clear sky,-34.7333,135.8667,Port Lincoln Hotel
218,Tsabong,BW,71.01,clear sky,-26.0217,22.401,Springbok Motel
